baseline,stddev,threshold,reset_threshold,run_start_time,is_leader
775.0, 9.3, 975, 825, 2024-11-01T18:06:41.482495-04:00, 1
Muon Count,ADC,temperature_ADC,dt,t,t_wait,coinc
392, 39065, 15027, 281, 217141, 63, 0
393, 2880, 15027, 233, 217374, 83, 0
394, 4689, 15011, 730, 218104, 78, 0
395, 6577, 15027, 78, 218182, 77, 0
396, 2368, 15027, 1937, 220119, 84, 0
397, 1024, 15011, 119, 220238, 94, 0
398, 2592, 15011, 116, 220354, 84, 0
399, 1088, 15011, 249, 220603, 93, 0
400, 2128, 15011, 218, 220821, 81, 1
401, 5313, 15011, 416, 221237, 78, 0
402, 1024, 15027, 91, 221328, 94, 0
403, 9778, 15027, 835, 222163, 74, 0
404, 10178, 15011, 212, 222375, 73, 0
405, 1264, 15011, 210, 222585, 92, 0
406, 4321, 15011, 967, 223552, 80, 0
407, 5505, 15011, 126, 223678, 78, 0
408, 5617, 15011, 1542, 225220, 76, 0
409, 21205, 15011, 347, 225567, 67, 0
410, 1088, 15011, 1592, 227159, 94, 0
411, 1504, 15027, 225, 227384, 90, 0
412, 49820, 15027, 283, 227667, 59, 0
413, 2432, 15027, 394, 228061, 85, 0
414, 4865, 14995, 45, 228106, 79, 0
415, 12947, 15011, 846, 228952, 72, 0
416, 26822, 15011, 69, 229021, 51, 1
417, 1184, 15027, 646, 229667, 92, 0
418, 5025, 15011, 49, 229716, 78, 0
419, 1088, 15011, 492, 230208, 93, 0
420, 10962, 15011, 850, 231058, 72, 0
421, 1024, 15011, 115, 231173, 95, 0
422, 32135, 15027, 515, 231688, 63, 0
423, 2256, 15027, 122, 231810, 85, 0
424, 4513, 15011, 162, 231972, 80, 0
425, 1072, 15027, 367, 232339, 93, 0
426, 5537, 15027, 905, 233244, 79, 0
427, 1376, 15011, 777, 234021, 90, 0
428, 37513, 15027, 13, 234034, 46, 1
429, 36264, 15011, 58, 234092, 64, 0
430, 1664, 15027, 742, 234834, 88, 0
431, 3616, 15011, 353, 235187, 81, 0
432, 4721, 14995, 833, 236020, 80, 0
433, 1024, 15011, 1089, 237109, 94, 0
434, 1072, 15027, 506, 237615, 94, 0
435, 5441, 15027, 165, 237780, 78, 0
436, 24565, 15011, 145, 237925, 52, 1
437, 19556, 15011, 361, 238286, 55, 1
438, 19476, 15011, 189, 238475, 67, 0
439, 25238, 15027, 93, 238568, 66, 0
440, 6417, 15027, 414, 238982, 78, 0
441, 32936, 15011, 413, 239395, 63, 0
442, 19860, 15027, 442, 239837, 69, 0
443, 8177, 15027, 15, 239852, 63, 1
444, 17396, 15027, 1264, 241116, 58, 1
445, 2560, 15027, 345, 241461, 79, 0
446, 2688, 15043, 1204, 242665, 83, 0
447, 9282, 15011, 1337, 244002, 75, 0
448, 9010, 15027, 5, 244007, 74, 0
449, 23813, 15011, 29, 244036, 71, 0
450, 1648, 15011, 384, 244420, 90, 0
451, 4080, 15011, 661, 245081, 80, 0
452, 7297, 15027, 3, 245084, 76, 0
453, 4481, 15027, 822, 245906, 80, 0
454, 8226, 15027, 272, 246178, 75, 0
455, 25910, 15011, 672, 246850, 51, 1
456, 14067, 15011, 256, 247106, 71, 0
457, 29767, 15027, 2181, 249287, 64, 0
458, 1488, 15011, 326, 249613, 90, 0
459, 1088, 15011, 319, 249932, 94, 0
460, 1216, 15027, 106, 250038, 93, 0
461, 1104, 15027, 1230, 251268, 93, 0
462, 33608, 15027, 405, 251673, 65, 0
463, 30343, 15011, 96, 251769, 65, 0
464, 9730, 15027, 1446, 253215, 72, 0
465, 14739, 15043, 555, 253770, 71, 0
466, 12419, 15011, 112, 253882, 71, 0
467, 29495, 15027, 234, 254116, 64, 0
468, 1808, 15027, 69, 254185, 87, 0
469, 11730, 15027, 289, 254474, 72, 0
470, 7889, 15011, 164, 254638, 75, 0
471, 992, 15027, 524, 255162, 94, 1
472, 2864, 15027, 122, 255284, 83, 0
473, 1088, 15027, 81, 255365, 94, 0
474, 2944, 15011, 244, 255609, 83, 0
475, 1120, 15027, 453, 256062, 92, 0
476, 4881, 15011, 2, 256064, 79, 0
477, 992, 15027, 626, 256690, 95, 0
478, 22853, 14995, 1701, 258391, 66, 0
479, 4353, 15011, 365, 258756, 80, 0
480, 4673, 15011, 4232, 262988, 79, 0
481, 1056, 15027, 11, 262999, 94, 0
482, 1056, 15027, 40, 263039, 94, 0
483, 1072, 15027, 2202, 265241, 94, 0
484, 1088, 15011, 159, 265400, 93, 0
485, 2432, 15011, 1079, 266479, 84, 0
486, 8242, 15011, 1404, 267883, 75, 0
487, 1040, 15027, 359, 268242, 94, 0
488, 23013, 15011, 973, 269215, 65, 0
489, 7217, 15027, 1008, 270223, 76, 0
490, 5105, 15027, 457, 270680, 78, 0
491, 19764, 15011, 257, 270937, 60, 1
492, 1024, 15027, 809, 271746, 95, 0
493, 4961, 15027, 257, 272003, 78, 0
494, 14403, 15027, 12, 272015, 70, 0
495, 4705, 15027, 37, 272052, 79, 0
496, 5089, 15011, 157, 272209, 79, 0
497, 23109, 15011, 1320, 273529, 68, 0
498, 5601, 15011, 459, 273988, 77, 0
499, 4241, 15027, 42, 274030, 79, 0
500, 3664, 15027, 20, 274050, 81, 0
501, 19300, 15027, 5, 274055, 68, 0
502, 6577, 15011, 2177, 276232, 78, 0
503, 12034, 15027, 25, 276257, 73, 0
504, 1024, 15027, 10, 276267, 95, 0
505, 13475, 15027, 341, 276608, 71, 0
506, 1088, 15027, 399, 277007, 93, 0
507, 992, 15027, 135, 277142, 95, 0
508, 4016, 15027, 103, 277245, 79, 0
509, 28550, 15027, 19, 277264, 65, 0
510, 6465, 15011, 634, 277898, 77, 0
511, 1712, 15011, 465, 278363, 88, 0
512, 2816, 15027, 179, 278542, 83, 0
513, 6449, 15011, 1585, 280127, 77, 0
514, 17604, 15011, 2140, 282267, 69, 0
515, 27238, 15011, 22, 282289, 51, 1
516, 31239, 15027, 385, 282674, 64, 0
517, 2848, 15011, 642, 283316, 83, 0
518, 1088, 15027, 6, 283322, 93, 0
519, 13731, 15027, 696, 284018, 71, 0
520, 6257, 15011, 13, 284031, 78, 0
521, 16484, 15027, 29, 284060, 57, 1
522, 20869, 14995, 89, 284149, 68, 0
523, 19684, 15011, 50, 284199, 68, 0
524, 39513, 15011, 16, 284215, 46, 1
525, 29639, 15027, 139, 284354, 65, 0
526, 1024, 15027, 386, 284740, 94, 0
527, 26646, 15011, 170, 284910, 51, 1
528, 23637, 15011, 721, 285631, 52, 1
529, 1536, 15011, 299, 285930, 89, 0
530, 20629, 15027, 556, 286486, 55, 1
531, 2960, 15011, 165, 286651, 76, 1
532, 2752, 15027, 161, 286812, 83, 0
533, 26214, 15027, 246, 287058, 66, 0
534, 11298, 15011, 424, 287482, 73, 0
535, 19348, 15011, 99, 287581, 69, 0
536, 2848, 15011, 87, 287668, 83, 0
537, 11330, 15027, 566, 288234, 73, 0
538, 1152, 15011, 574, 288808, 93, 0
539, 6241, 15027, 475, 289283, 79, 0
540, 12210, 15011, 25, 289308, 72, 0
541, 19844, 15011, 61, 289369, 69, 0
542, 2384, 15011, 379, 289748, 84, 0
543, 24886, 15027, 748, 290496, 66, 0
544, 23605, 15027, 161, 290657, 68, 0
545, 1056, 15011, 173, 290830, 95, 0
546, 17780, 15011, 434, 291264, 69, 0
547, 32679, 15027, 188, 291452, 63, 0
548, 1216, 15011, 88, 291540, 92, 0
549, 28006, 15027, 455, 291995, 65, 0
550, 34344, 15027, 261, 292256, 47, 1
551, 1248, 15011, 1348, 293604, 91, 0
552, 1504, 15027, 38, 293642, 89, 0
553, 2896, 15011, 571, 294213, 83, 0
554, 9106, 15027, 1759, 295972, 74, 0
555, 2480, 15027, 134, 296106, 84, 0
556, 1008, 15027, 128, 296234, 95, 0
557, 57005, 15011, 256, 296490, 57, 0
558, 37545, 15027, 21, 296511, 63, 0
559, 5025, 15027, 182, 296693, 79, 0
560, 2256, 15011, 2285, 298978, 86, 0
561, 24774, 15027, 552, 299530, 52, 1
562, 1296, 15027, 248, 299778, 91, 0
563, 5745, 15027, 36, 299814, 77, 0
564, 1504, 15027, 263, 300077, 89, 0
565, 16724, 15027, 65, 300142, 70, 0
566, 1408, 14995, 547, 300689, 90, 0
567, 2768, 15011, 1233, 301922, 83, 0
568, 11986, 15027, 914, 302836, 72, 0
569, 1088, 15011, 1128, 303964, 94, 0
570, 4625, 15027, 901, 304865, 79, 0
571, 1248, 15027, 136, 305001, 92, 0
572, 976, 15011, 728, 305729, 95, 0
573, 20212, 15027, 1040, 306769, 68, 0
574, 2720, 15027, 201, 306970, 83, 0
575, 25478, 15027, 74, 307044, 51, 1
576, 992, 15027, 124, 307168, 94, 0
577, 1680, 15027, 520, 307688, 87, 0
578, 1072, 15027, 851, 308539, 94, 0
579, 5921, 15027, 85, 308624, 78, 0
580, 1840, 15027, 1295, 309919, 88, 0
581, 992, 15011, 251, 310170, 96, 0
582, 2320, 15027, 1341, 311511, 79, 1
583, 4705, 15011, 758, 312269, 79, 0
584, 4801, 15027, 1084, 313353, 79, 0
585, 4993, 15027, 1162, 314515, 79, 0
586, 1888, 15011, 340, 314855, 87, 0
587, 12867, 15027, 1306, 316161, 71, 0
588, 1600, 15027, 435, 316596, 90, 0
